"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"7349","GO:0046338",1,0.711387023509508,0,4,"phosphatidylethanolamine catabolic process","BP"
"7351","GO:0046340",1,0.395901035663266,0,6,"diacylglycerol catabolic process","BP"
"7355","GO:0046351",1,0.97917029382934,0,2,"disaccharide biosynthetic process","BP"
"7357","GO:0046356",1,0.996942231347315,0,3,"acetyl-CoA catabolic process","BP"
"7360","GO:0046361",1,0.997960364490524,0,2,"2-oxobutyrate metabolic process","BP"
"7364","GO:0046370",1,0.997960362747856,0,2,"fructose biosynthetic process","BP"
"7365","GO:0046373",1,0.997960356067628,0,2,"L-arabinose metabolic process","BP"
"7366","GO:0046380",1,0.996942308091563,0,3,"N-acetylneuraminate biosynthetic process","BP"
"7367","GO:0046381",1,0.418352808842601,0,6,"CMP-N-acetylneuraminate metabolic process","BP"
"7374","GO:0046398",1,0.942189036429162,0,3,"UDP-glucuronate metabolic process","BP"
"7375","GO:0046415",1,0.593804312067408,0,12,"urate metabolic process","BP"
"7376","GO:0046416",1,0.99592508715015,0,4,"D-amino acid metabolic process","BP"
"7384","GO:0046440",1,0.536652922952874,0,4,"L-lysine metabolic process","BP"
"7389","GO:0046452",1,0.536805020385273,0,4,"dihydrofolate metabolic process","BP"
"7393","GO:0046459",1,0.407803082733301,0,16,"short-chain fatty acid metabolic process","BP"
"7399","GO:0046465",1,0.554848456274603,0,5,"dolichyl diphosphate metabolic process","BP"
"7402","GO:0046469",1,0.595792764255164,0,8,"platelet activating factor metabolic process","BP"
"7409","GO:0046477",1,0.352606375128312,0,7,"glycosylceramide catabolic process","BP"
"7421","GO:0046498",1,0.997960598908463,0,2,"S-adenosylhomocysteine metabolic process","BP"
"7423","GO:0046500",1,0.740638525690592,0,11,"S-adenosylmethionine metabolic process","BP"
"7425","GO:0046502",1,0.997960352059492,0,2,"uroporphyrinogen III metabolic process","BP"
"7428","GO:0046511",1,0.468680513750599,0,2,"sphinganine biosynthetic process","BP"
"7438","GO:0046541",1,0.528226795980644,0,15,"saliva secretion","BP"
"7440","GO:0046544",1,0.997960547674009,0,2,"development of secondary male sexual characteristics","BP"
"7444","GO:0046549",1,0.954830823228303,0,11,"retinal cone cell development","BP"
"7449","GO:0046586",1,0.534586866374267,0,2,"regulation of calcium-dependent cell-cell adhesion","BP"
"7458","GO:0046602",1,0.521158622704175,0,9,"regulation of mitotic centrosome separation","BP"
"7460","GO:0046604",1,0.524370811248482,0,3,"positive regulation of mitotic centrosome separation","BP"
"7464","GO:0046619",1,0.997960353831204,0,2,"lens placode formation involved in camera-type eye formation","BP"
"7490","GO:0046654",1,0.499925726438078,0,7,"tetrahydrofolate biosynthetic process","BP"
"7501","GO:0046684",1,0.527500168105661,0,2,"response to pyrethroid","BP"
"7508","GO:0046704",1,0.997960367336882,0,2,"CDP metabolic process","BP"
"7509","GO:0046705",1,0.997960367336882,0,2,"CDP biosynthetic process","BP"
"7520","GO:0046724",1,0.997960414243701,0,2,"oxalic acid secretion","BP"
"7522","GO:0046726",1,0.967858112827635,0,4,"positive regulation by virus of viral protein levels in host cell","BP"
"7531","GO:0046813",1,0.80034624454287,0,6,"receptor-mediated virion attachment to host cell","BP"
"7554","GO:0046874",1,0.99293948151208,0,6,"quinolinate metabolic process","BP"
"7555","GO:0046877",1,0.900885816659251,0,8,"regulation of saliva secretion","BP"
"7556","GO:0046878",1,0.90555973183243,0,3,"positive regulation of saliva secretion","BP"
"7560","GO:0046882",1,0.996942376479544,0,3,"negative regulation of follicle-stimulating hormone secretion","BP"
"7570","GO:0046900",1,0.705889096314719,0,2,"tetrahydrofolylpolyglutamate metabolic process","BP"
"7580","GO:0046946",1,0.529386676977361,0,2,"hydroxylysine metabolic process","BP"
"7581","GO:0046947",1,0.529386676977361,0,2,"hydroxylysine biosynthetic process","BP"
"7583","GO:0046951",1,0.993893581321632,0,6,"ketone body biosynthetic process","BP"
"7584","GO:0046952",1,0.996942192670537,0,3,"ketone body catabolic process","BP"
"7586","GO:0046959",1,0.942516826872293,0,4,"habituation","BP"
"7587","GO:0046960",1,0.995126210340487,0,3,"sensitization","BP"
"7588","GO:0046963",1,0.997960549707122,0,2,"3'-phosphoadenosine 5'-phosphosulfate transport","BP"
"7589","GO:0046967",1,0.980585074856538,0,5,"cytosol to endoplasmic reticulum transport","BP"
"7590","GO:0046968",1,0.996942266542314,0,3,"peptide antigen transport","BP"
"7591","GO:0046984",1,0.762808088077018,0,8,"regulation of hemoglobin biosynthetic process","BP"
"7592","GO:0046985",1,0.764369184695251,0,6,"positive regulation of hemoglobin biosynthetic process","BP"
"7599","GO:0048006",1,0.962630627623895,0,5,"antigen processing and presentation, endogenous lipid antigen via MHC class Ib","BP"
"7607","GO:0048014",1,0.637217674842198,0,4,"Tie signaling pathway","BP"
"7610","GO:0048022",1,0.943255325749539,0,5,"negative regulation of melanin biosynthetic process","BP"
"7621","GO:0048069",1,0.845737475956275,0,6,"eye pigmentation","BP"
"7623","GO:0048073",1,0.99694229152409,0,3,"regulation of eye pigmentation","BP"
"7626","GO:0048086",1,0.997960352553248,0,2,"negative regulation of developmental pigmentation","BP"
"7632","GO:0048133",1,0.99694208665033,0,3,"male germ-line stem cell asymmetric division","BP"
"7641","GO:0048160",1,0.864810767010101,0,2,"primary follicle stage","BP"
"7642","GO:0048162",1,0.996942090451273,0,3,"multi-layer follicle stage","BP"
"7653","GO:0048200",1,0.292029577367228,0,6,"Golgi transport vesicle coating","BP"
"7654","GO:0048203",1,0.951117118606453,0,2,"vesicle targeting, trans-Golgi to endosome","BP"
"7655","GO:0048205",1,0.292029577367228,0,6,"COPI coating of Golgi vesicle","BP"
"7658","GO:0048210",1,0.792908580157867,0,2,"Golgi vesicle fusion to target membrane","BP"
"7661","GO:0048227",1,0.411052583803535,0,9,"plasma membrane to endosome transport","BP"
"7663","GO:0048239",1,0.997960352059492,0,2,"negative regulation of DNA recombination at telomere","BP"
"7665","GO:0048241",1,0.581053305086858,0,10,"epinephrine transport","BP"
"7666","GO:0048242",1,0.988169608999237,0,6,"epinephrine secretion","BP"
"7668","GO:0048245",1,0.157420567427515,0,20,"eosinophil chemotaxis","BP"
"7671","GO:0048250",1,0.948257931755249,0,2,"iron import into the mitochondrion","BP"
"7673","GO:0048252",1,0.996942154225879,0,3,"lauric acid metabolic process","BP"
"7694","GO:0048294",1,0.996942187447866,0,3,"negative regulation of isotype switching to IgE isotypes","BP"
"7717","GO:0048342",1,0.931271461705308,0,2,"paraxial mesodermal cell differentiation","BP"
"7718","GO:0048343",1,0.931271461705308,0,2,"paraxial mesodermal cell fate commitment","BP"
"7721","GO:0048369",1,0.99490904073361,0,5,"lateral mesoderm morphogenesis","BP"
"7722","GO:0048370",1,0.99490904073361,0,5,"lateral mesoderm formation","BP"
"7723","GO:0048371",1,0.995925262047073,0,4,"lateral mesodermal cell differentiation","BP"
"7724","GO:0048372",1,0.997960502509852,0,2,"lateral mesodermal cell fate commitment","BP"
"7725","GO:0048377",1,0.997960502509852,0,2,"lateral mesodermal cell fate specification","BP"
"7726","GO:0048378",1,0.997960502509852,0,2,"regulation of lateral mesodermal cell fate specification","BP"
"7727","GO:0048382",1,0.447384293565297,0,9,"mesendoderm development","BP"
"7730","GO:0048386",1,0.478286329204934,0,5,"positive regulation of retinoic acid receptor signaling pathway","BP"
"7747","GO:0048496",1,0.276853028102662,0,5,"maintenance of animal organ identity","BP"
"7777","GO:0048560",1,0.952712872171804,0,2,"establishment of anatomical structure orientation","BP"
"7784","GO:0048570",1,0.494849183028557,0,8,"notochord morphogenesis","BP"
"7802","GO:0048619",1,0.961948744352859,0,3,"embryonic hindgut morphogenesis","BP"
"7804","GO:0048625",1,0.554998959076257,0,6,"myoblast fate commitment","BP"
"7809","GO:0048632",1,0.930013565318353,0,2,"negative regulation of skeletal muscle tissue growth","BP"
"7828","GO:0048664",1,0.355791445542091,0,10,"neuron fate determination","BP"
"7833","GO:0048669",1,0.721380795695535,0,5,"collateral sprouting in absence of injury","BP"
"7839","GO:0048677",1,0.487226007616609,0,3,"axon extension involved in regeneration","BP"
"7844","GO:0048682",1,0.28764083343607,0,4,"sprouting of injured axon","BP"
"7847","GO:0048686",1,0.533775406168979,0,3,"regulation of sprouting of injured axon","BP"
"7849","GO:0048688",1,0.904058602653887,0,2,"negative regulation of sprouting of injured axon","BP"
"7850","GO:0048690",1,0.904058602653887,0,2,"regulation of axon extension involved in regeneration","BP"
"7851","GO:0048692",1,0.904058602653887,0,2,"negative regulation of axon extension involved in regeneration","BP"
"7852","GO:0048696",1,0.996942100461391,0,3,"regulation of collateral sprouting in absence of injury","BP"
"7853","GO:0048697",1,0.997960352059492,0,2,"positive regulation of collateral sprouting in absence of injury","BP"
"7881","GO:0048752",1,0.305819941556068,0,8,"semicircular canal morphogenesis","BP"
"7887","GO:0048769",1,0.299771224174596,0,3,"sarcomerogenesis","BP"
"7891","GO:0048790",1,0.577187825674529,0,9,"maintenance of presynaptic active zone structure","BP"
"7894","GO:0048793",1,0.283718508843464,0,9,"pronephros development","BP"
"7897","GO:0048807",1,0.996942302897907,0,3,"female genitalia morphogenesis","BP"
"7898","GO:0048808",1,0.995924825964233,0,4,"male genitalia morphogenesis","BP"
"7902","GO:0048817",1,0.997960388626479,0,2,"negative regulation of hair follicle maturation","BP"
"7903","GO:0048818",1,0.910386669171265,0,5,"positive regulation of hair follicle maturation","BP"
"7904","GO:0048819",1,0.906675120551729,0,9,"regulation of hair follicle maturation","BP"
"7905","GO:0048820",1,0.413938173267042,0,15,"hair follicle maturation","BP"
"7907","GO:0048822",1,0.461163004243244,0,7,"enucleate erythrocyte development","BP"
"7916","GO:0048850",1,0.997960352059492,0,2,"hypophysis morphogenesis","BP"
"7917","GO:0048852",1,0.996942111835206,0,3,"diencephalon morphogenesis","BP"
"7935","GO:0048877",1,0.595812288641073,0,2,"homeostasis of number of retina cells","BP"
"7939","GO:0048882",1,0.776676451373022,0,2,"lateral line development","BP"
"7940","GO:0048884",1,0.776676451373022,0,2,"neuromast development","BP"
"7941","GO:0048886",1,0.776676451373022,0,2,"neuromast hair cell differentiation","BP"
"7948","GO:0048925",1,0.775882993245491,0,3,"lateral line system development","BP"
"7963","GO:0050653",1,0.478338569493534,0,4,"chondroitin sulfate proteoglycan biosynthetic process, chain elongation","BP"
"7999","GO:0050748",1,0.994908982764372,0,5,"negative regulation of lipoprotein metabolic process","BP"
"8060","GO:0050861",1,0.203126295212482,0,7,"positive regulation of B cell receptor signaling pathway","BP"
"8071","GO:0050872",1,0.223637992289411,0,17,"white fat cell differentiation","BP"
"8078","GO:0050883",1,0.980106055287874,0,2,"musculoskeletal movement, spinal reflex action","BP"
"8085","GO:0050893",1,0.941555101614676,0,5,"sensory processing","BP"
"8090","GO:0050902",1,0.569429431480058,0,2,"leukocyte adhesive activation","BP"
"8097","GO:0050910",1,0.220830841718304,0,17,"detection of mechanical stimulus involved in sensory perception of sound","BP"
"8101","GO:0050914",1,0.639311464577873,0,4,"sensory perception of salty taste","BP"
"8104","GO:0050917",1,0.992879377351171,0,7,"sensory perception of umami taste","BP"
"8110","GO:0050923",1,0.954575657979606,0,4,"regulation of negative chemotaxis","BP"
"8112","GO:0050925",1,0.979954562441393,0,2,"negative regulation of negative chemotaxis","BP"
"8124","GO:0050955",1,0.930028404950125,0,8,"thermoception","BP"
"8125","GO:0050957",1,0.991866285471893,0,8,"equilibrioception","BP"
"8126","GO:0050960",1,0.994909095517728,0,5,"detection of temperature stimulus involved in thermoception","BP"
"8131","GO:0050968",1,0.996942232943131,0,3,"detection of chemical stimulus involved in sensory perception of pain","BP"
"8136","GO:0050992",1,0.997958250200625,0,2,"dimethylallyl diphosphate biosynthetic process","BP"
"8137","GO:0050993",1,0.997958250200625,0,2,"dimethylallyl diphosphate metabolic process","BP"
"8151","GO:0051026",1,0.788603296716414,0,8,"chiasma assembly","BP"
"8153","GO:0051029",1,0.996942073941833,0,3,"rRNA transport","BP"
"8155","GO:0051031",1,0.935997046345565,0,6,"tRNA transport","BP"
"8162","GO:0051045",1,0.30129510149291,0,8,"negative regulation of membrane protein ectodomain proteolysis","BP"
"8176","GO:0051066",1,0.932270958150103,0,2,"dihydrobiopterin metabolic process","BP"
"8181","GO:0051086",1,0.537086445125239,0,8,"chaperone mediated protein folding independent of cofactor","BP"
"8188","GO:0051096",1,0.553948786544287,0,5,"positive regulation of helicase activity","BP"
"8189","GO:0051097",1,0.997960492750909,0,2,"negative regulation of helicase activity","BP"
"8200","GO:0051127",1,0.561398327577504,0,14,"positive regulation of actin nucleation","BP"
"8228","GO:0051167",1,0.926098305713018,0,6,"xylulose 5-phosphate metabolic process","BP"
"8234","GO:0051176",1,0.994754577761274,0,5,"positive regulation of sulfur metabolic process","BP"
"8238","GO:0051189",1,0.988990560157338,0,6,"prosthetic group metabolic process","BP"
"8248","GO:0051228",1,0.997960353250315,0,2,"mitotic spindle disassembly","BP"
"8249","GO:0051230",1,0.997960353250315,0,2,"spindle disassembly","BP"
"8289","GO:0051296",1,0.955354904310957,0,4,"establishment of meiotic spindle orientation","BP"
"8302","GO:0051311",1,0.477670739901326,0,5,"meiotic metaphase chromosome alignment","BP"
"8309","GO:0051344",1,0.997960352059492,0,2,"negative regulation of cyclic-nucleotide phosphodiesterase activity","BP"
"8320","GO:0051365",1,0.997960443781929,0,2,"cellular response to potassium ion starvation","BP"
"8326","GO:0051387",1,0.995925077295171,0,4,"negative regulation of neurotrophin TRK receptor signaling pathway","BP"
"8333","GO:0051410",1,0.983353388598481,0,5,"detoxification of nitrogen compound","BP"
"8334","GO:0051412",1,0.739625832606484,0,15,"response to corticosterone","BP"
"8336","GO:0051414",1,0.923493012265152,0,6,"response to cortisol","BP"
"8344","GO:0051447",1,0.365713140970435,0,20,"negative regulation of meiotic cell cycle","BP"
"8356","GO:0051462",1,0.564023318521258,0,5,"regulation of cortisol secretion","BP"
"8358","GO:0051464",1,0.99592505929534,0,4,"positive regulation of cortisol secretion","BP"
"8359","GO:0051466",1,0.997960533645528,0,2,"positive regulation of corticotropin-releasing hormone secretion","BP"
"8364","GO:0051490",1,0.79678768749936,0,5,"negative regulation of filopodium assembly","BP"
"8381","GO:0051552",1,0.993893730030776,0,6,"flavone metabolic process","BP"
"8385","GO:0051563",1,0.578707591939001,0,3,"smooth endoplasmic reticulum calcium ion homeostasis","BP"
"8387","GO:0051581",1,0.996942074986367,0,3,"negative regulation of neurotransmitter uptake","BP"
"8399","GO:0051594",1,0.997960469108708,0,2,"detection of glucose","BP"
"8400","GO:0051595",1,0.997960352059492,0,2,"response to methylglyoxal","BP"
"8403","GO:0051598",1,0.790200110602369,0,3,"meiotic recombination checkpoint signaling","BP"
"8405","GO:0051601",1,0.994908742548226,0,5,"exocyst localization","BP"
"8412","GO:0051610",1,0.582627819637512,0,13,"serotonin uptake","BP"
"8413","GO:0051611",1,0.995924830109121,0,4,"regulation of serotonin uptake","BP"
"8414","GO:0051612",1,0.996942074986367,0,3,"negative regulation of serotonin uptake","BP"
"8415","GO:0051615",1,0.588019694715372,0,4,"histamine uptake","BP"
"8416","GO:0051620",1,0.5850180578758,0,9,"norepinephrine uptake","BP"
"8417","GO:0051621",1,0.997960360453343,0,2,"regulation of norepinephrine uptake","BP"
"8420","GO:0051625",1,0.589224493457692,0,2,"epinephrine uptake","BP"
"8421","GO:0051630",1,0.997960352059492,0,2,"acetylcholine uptake","BP"
"8428","GO:0051643",1,0.990261509193565,0,9,"endoplasmic reticulum localization","BP"
"8442","GO:0051660",1,0.549278093382875,0,10,"establishment of centrosome localization","BP"
"8448","GO:0051673",1,0.825699762346876,0,6,"disruption of plasma membrane integrity in another organism","BP"
"8451","GO:0051684",1,0.539183386682775,0,3,"maintenance of Golgi location","BP"
"8455","GO:0051695",1,0.99796051970418,0,2,"actin filament uncapping","BP"
"8456","GO:0051697",1,0.805702661271034,0,5,"protein delipidation","BP"
"8469","GO:0051754",1,0.366210119507054,0,5,"meiotic sister chromatid cohesion, centromeric","BP"
"8480","GO:0051790",1,0.982763929281092,0,4,"short-chain fatty acid biosynthetic process","BP"
"8484","GO:0051794",1,0.995922758624028,0,4,"regulation of timing of catagen","BP"
"8485","GO:0051795",1,0.996939975852445,0,3,"positive regulation of timing of catagen","BP"
"8489","GO:0051799",1,0.700996439637044,0,5,"negative regulation of hair follicle development","BP"
"8495","GO:0051866",1,0.553992298343511,0,6,"general adaptation syndrome","BP"
"8496","GO:0051867",1,0.554559682408526,0,5,"general adaptation syndrome, behavioral process","BP"
"8499","GO:0051877",1,0.693026288887231,0,2,"pigment granule aggregation in cell center","BP"
"8503","GO:0051884",1,0.910388779665327,0,5,"regulation of timing of anagen","BP"
"8504","GO:0051885",1,0.913182291291631,0,2,"positive regulation of timing of anagen","BP"
"8517","GO:0051901",1,0.97228145041505,0,9,"positive regulation of mitochondrial depolarization","BP"
"8526","GO:0051919",1,0.960885100031613,0,4,"positive regulation of fibrinolysis","BP"
"8536","GO:0051935",1,0.453881131195401,0,6,"glutamate reuptake","BP"
"8542","GO:0051941",1,0.454812294797657,0,4,"regulation of amino acid uptake involved in synaptic transmission","BP"
"8543","GO:0051943",1,0.964979158723454,0,2,"positive regulation of amino acid uptake involved in synaptic transmission","BP"
"8546","GO:0051946",1,0.454812294797657,0,4,"regulation of glutamate uptake involved in transmission of nerve impulse","BP"
"8547","GO:0051951",1,0.964979158723454,0,2,"positive regulation of glutamate uptake involved in transmission of nerve impulse","BP"
"8554","GO:0051958",1,0.533223720537359,0,2,"methotrexate transport","BP"
"8565","GO:0051970",1,0.980874150448426,0,6,"negative regulation of transmission of nerve impulse","BP"
"8566","GO:0051971",1,0.993893419364354,0,6,"positive regulation of transmission of nerve impulse","BP"
"8567","GO:0051977",1,0.99339296974311,0,3,"lysophospholipid transport","BP"
"8574","GO:0052008",1,0.468135487956997,0,4,"symbiont-mediated disruption of host cellular anatomical structure","BP"
"8575","GO:0052111",1,0.468135487956997,0,4,"symbiont-mediated disruption of host anatomical structure","BP"
"8589","GO:0055005",1,0.978215645843362,0,3,"ventricular cardiac myofibril assembly","BP"
"8593","GO:0055009",1,0.939284270405549,0,6,"atrial cardiac muscle tissue morphogenesis","BP"
"8595","GO:0055011",1,0.99694225818604,0,3,"atrial cardiac muscle cell differentiation","BP"
"8598","GO:0055014",1,0.99694225818604,0,3,"atrial cardiac muscle cell development","BP"
"8606","GO:0055024",1,0.9949086563762,0,5,"regulation of cardiac muscle tissue development","BP"
"8607","GO:0055025",1,0.997960352059492,0,2,"positive regulation of cardiac muscle tissue development","BP"
"8608","GO:0055026",1,0.997960386506232,0,2,"negative regulation of cardiac muscle tissue development","BP"
"8611","GO:0055059",1,0.960743288928849,0,6,"asymmetric neuroblast division","BP"
"8631","GO:0055095",1,0.994909510220858,0,4,"lipoprotein particle mediated signaling","BP"
"8632","GO:0055096",1,0.994909510220858,0,4,"low-density lipoprotein particle mediated signaling","BP"
"8633","GO:0055107",1,0.606484036717684,0,3,"Golgi to secretory granule transport","BP"
"8643","GO:0060003",1,0.997960457113341,0,2,"copper ion export","BP"
"8644","GO:0060004",1,0.286864647434401,0,22,"reflex","BP"
"8645","GO:0060005",1,0.50725017902153,0,4,"vestibular reflex","BP"
"8651","GO:0060012",1,0.993876684017614,0,5,"synaptic transmission, glycinergic","BP"
"8652","GO:0060013",1,0.938674962351567,0,8,"righting reflex","BP"
"8654","GO:0060017",1,0.52975551583657,0,7,"parathyroid gland development","BP"
"8661","GO:0060024",1,0.65816437199207,0,4,"rhythmic synaptic transmission","BP"
"8678","GO:0060044",1,0.409424142805985,0,10,"negative regulation of cardiac muscle cell proliferation","BP"
"8684","GO:0060050",1,0.210395364111623,0,7,"positive regulation of protein glycosylation","BP"
"8692","GO:0060059",1,0.993893640215195,0,6,"embryonic retina morphogenesis in camera-type eye","BP"
"8693","GO:0060060",1,0.766582080471892,0,2,"post-embryonic retina morphogenesis in camera-type eye","BP"
"8698","GO:0060067",1,0.997960352059492,0,2,"cervix development","BP"
"8702","GO:0060073",1,0.55772907372941,0,8,"micturition","BP"
"8710","GO:0060083",1,0.754338353721593,0,3,"smooth muscle contraction involved in micturition","BP"
"8711","GO:0060084",1,0.74090088425514,0,3,"synaptic transmission involved in micturition","BP"
"8715","GO:0060092",1,0.996925116744039,0,2,"regulation of synaptic transmission, glycinergic","BP"
"8721","GO:0060112",1,0.996942175522769,0,3,"generation of ovulation cycle rhythm","BP"
"8723","GO:0060114",1,0.997960488394238,0,2,"vestibular receptor cell differentiation","BP"
"8726","GO:0060118",1,0.997960488394238,0,2,"vestibular receptor cell development","BP"
"8734","GO:0060126",1,0.994267491038229,0,5,"somatotropin secreting cell differentiation","BP"
"8735","GO:0060127",1,0.997317279047442,0,2,"prolactin secreting cell differentiation","BP"
"8748","GO:0060151",1,0.997960560627845,0,2,"peroxisome localization","BP"
"8749","GO:0060152",1,0.997960560627845,0,2,"microtubule-based peroxisome localization","BP"
"8752","GO:0060157",1,0.995924962310752,0,4,"urinary bladder development","BP"
"8757","GO:0060163",1,0.997960354818716,0,2,"subpallium neuron fate commitment","BP"
"8760","GO:0060166",1,0.996942233030175,0,3,"olfactory pit development","BP"
"8761","GO:0060167",1,0.995925035411508,0,4,"regulation of adenosine receptor signaling pathway","BP"
"8762","GO:0060168",1,0.996942088420235,0,3,"positive regulation of adenosine receptor signaling pathway","BP"
"8766","GO:0060177",1,0.590317440323258,0,2,"regulation of angiotensin metabolic process","BP"
"8770","GO:0060183",1,0.996942190059202,0,3,"apelin receptor signaling pathway","BP"
"8774","GO:0060197",1,0.997960442533016,0,2,"cloacal septation","BP"
"8776","GO:0060212",1,0.536224503426651,0,3,"negative regulation of nuclear-transcribed mRNA poly(A) tail shortening","BP"
"8778","GO:0060214",1,0.734740703994219,0,4,"endocardium formation","BP"
"8793","GO:0060244",1,0.746030912130163,0,4,"negative regulation of cell proliferation involved in contact inhibition","BP"
"8813","GO:0060278",1,0.996942392901944,0,3,"regulation of ovulation","BP"
"8814","GO:0060279",1,0.997960654848126,0,2,"positive regulation of ovulation","BP"
"8816","GO:0060281",1,0.865157543782623,0,3,"regulation of oocyte development","BP"
"8817","GO:0060282",1,0.866041732001401,0,2,"positive regulation of oocyte development","BP"
"8822","GO:0060290",1,0.662032558411197,0,8,"transdifferentiation","BP"
"8828","GO:0060297",1,0.350257097953606,0,8,"regulation of sarcomere organization","BP"
"8829","GO:0060298",1,0.35133693059156,0,5,"positive regulation of sarcomere organization","BP"
"8832","GO:0060302",1,0.943128620092065,0,2,"negative regulation of cytokine activity","BP"
"8841","GO:0060313",1,0.997359797137969,0,2,"negative regulation of blood vessel remodeling","BP"
"8853","GO:0060327",1,0.912877235869249,0,3,"cytoplasmic actin-based contraction involved in cell motility","BP"
"8856","GO:0060332",1,0.258136512188923,0,6,"positive regulation of response to type II interferon","BP"
"8859","GO:0060335",1,0.258136512188923,0,6,"positive regulation of type II interferon-mediated signaling pathway","BP"
"8878","GO:0060359",1,0.993893557775779,0,6,"response to ammonium ion","BP"
"8885","GO:0060370",1,0.95731778552845,0,2,"susceptibility to T cell mediated cytotoxicity","BP"
"8886","GO:0060371",1,0.423358662576104,0,9,"regulation of atrial cardiac muscle cell membrane depolarization","BP"
"8899","GO:0060386",1,0.997960475817981,0,2,"synapse assembly involved in innervation","BP"
"8923","GO:0060423",1,0.996942467702211,0,3,"foregut regionalization","BP"
"8924","GO:0060424",1,0.996942467702211,0,3,"lung field specification","BP"
"8927","GO:0060427",1,0.586478742190302,0,2,"lung connective tissue development","BP"
"8931","GO:0060431",1,0.995925420074614,0,4,"primary lung bud formation","BP"
"8934","GO:0060434",1,0.543796375977589,0,2,"bronchus morphogenesis","BP"
"8947","GO:0060448",1,0.932325220347051,0,2,"dichotomous subdivision of terminal units involved in lung branching","BP"
"8961","GO:0060465",1,0.954147370941681,0,3,"pharynx development","BP"
"8962","GO:0060466",1,0.997960548690565,0,2,"activation of meiosis involved in egg activation","BP"
"8968","GO:0060478",1,0.988421712082108,0,9,"acrosomal vesicle exocytosis","BP"
"8970","GO:0060480",1,0.99592482494975,0,4,"lung goblet cell differentiation","BP"
"8975","GO:0060486",1,0.927700749970773,0,4,"club cell differentiation","BP"
"8981","GO:0060492",1,0.996942467702211,0,3,"lung induction","BP"
"8989","GO:0060510",1,0.993893927162267,0,6,"type II pneumocyte differentiation","BP"
"8996","GO:0060526",1,0.959006698304676,0,6,"prostate glandular acinus morphogenesis","BP"
"8997","GO:0060527",1,0.959006698304676,0,6,"prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis","BP"
"8999","GO:0060529",1,0.997960444972752,0,2,"squamous basal epithelial stem cell differentiation involved in prostate gland acinus development","BP"
"9000","GO:0060532",1,0.555544149497256,0,2,"bronchus cartilage development","BP"
"9002","GO:0060535",1,0.984615131467167,0,3,"trachea cartilage morphogenesis","BP"
"9016","GO:0060557",1,0.561348250019434,0,2,"positive regulation of vitamin D biosynthetic process","BP"
"9027","GO:0060573",1,0.990260329776913,0,7,"cell fate specification involved in pattern specification","BP"
"9032","GO:0060579",1,0.986224523397521,0,11,"ventral spinal cord interneuron fate commitment","BP"
"9034","GO:0060581",1,0.986224523397521,0,11,"cell fate commitment involved in pattern specification","BP"
"9036","GO:0060585",1,0.66275361884429,0,2,"positive regulation of prostaglandin-endoperoxide synthase activity","BP"
"9038","GO:0060587",1,0.997960427168491,0,2,"regulation of lipoprotein lipid oxidation","BP"
"9040","GO:0060591",1,0.528645923404336,0,5,"chondroblast differentiation","BP"
"9042","GO:0060594",1,0.996942110906731,0,3,"mammary gland specification","BP"
"9043","GO:0060595",1,0.997960355486739,0,2,"fibroblast growth factor receptor signaling pathway involved in mammary gland specification","BP"
"9046","GO:0060599",1,0.997960352059492,0,2,"lateral sprouting involved in mammary gland duct morphogenesis","BP"
"9047","GO:0060600",1,0.594957839215547,0,8,"dichotomous subdivision of an epithelial terminal unit","BP"
"9056","GO:0060615",1,0.997960355486739,0,2,"mammary gland bud formation","BP"
"9058","GO:0060620",1,0.712385350508861,0,3,"regulation of cholesterol import","BP"
"9059","GO:0060621",1,0.997960410961676,0,2,"negative regulation of cholesterol import","BP"
"9063","GO:0060629",1,0.99694222946135,0,3,"regulation of homologous chromosome segregation","BP"
"9064","GO:0060631",1,0.460826207460301,0,6,"regulation of meiosis I","BP"
"9069","GO:0060648",1,0.996942077365583,0,3,"mammary gland bud morphogenesis","BP"
"9071","GO:0060661",1,0.997960353017959,0,2,"submandibular salivary gland formation","BP"
"9075","GO:0060666",1,0.786051244693964,0,4,"dichotomous subdivision of terminal units involved in salivary gland branching","BP"
"9076","GO:0060667",1,0.997960355486739,0,2,"branch elongation involved in salivary gland morphogenesis","BP"
"9080","GO:0060671",1,0.996942123586214,0,3,"epithelial cell differentiation involved in embryonic placenta development","BP"
"9081","GO:0060672",1,0.996942123586214,0,3,"epithelial cell morphogenesis involved in placental branching","BP"
"9084","GO:0060676",1,0.320847287799837,0,7,"ureteric bud formation","BP"
"9087","GO:0060681",1,0.995924906890991,0,4,"branch elongation involved in ureteric bud branching","BP"
"9109","GO:0060712",1,0.997960372332531,0,2,"spongiotrophoblast layer development","BP"
"9121","GO:0060730",1,0.51146489735414,0,2,"regulation of intestinal epithelial structure maintenance","BP"
"9137","GO:0060748",1,0.996942076959376,0,3,"tertiary branching involved in mammary gland duct morphogenesis","BP"
"9139","GO:0060750",1,0.995924992078585,0,4,"epithelial cell proliferation involved in mammary gland duct elongation","BP"
"9141","GO:0060752",1,0.997960607418495,0,2,"intestinal phytosterol absorption","BP"
"9161","GO:0060785",1,0.596504067035937,0,2,"regulation of apoptosis involved in tissue homeostasis","BP"
